sequence_id,organism,condition_en,condition_es,PC1,PC2
A0A0C5B5G6,Homo sapiens (Human),Diseased,Enfermo,6.086084292326873,7.164858191847803
A0A1B0GTW7,Homo sapiens (Human),Diseased,Enfermo,-1.0020809431663147,0.640204277009187
A0JNW5,Homo sapiens (Human),Diseased,Enfermo,0.9610610569782132,-0.6836275855807262
A0JP26,Homo sapiens (Human),Healthy,Sano,1.2254439254476004,-1.8791512488934639
A0PK11,Homo sapiens (Human),Diseased,Enfermo,-3.655723368752817,5.566598798149087
A1A4S6,Homo sapiens (Human),Diseased,Enfermo,3.4448158329368037,1.6225304835390562
A1A519,Homo sapiens (Human),Healthy,Sano,4.871720792026586,-1.5366132024784092
A1L190,Homo sapiens (Human),Healthy,Sano,7.241328219677728,3.8208693477104627
A1L3X0,Homo sapiens (Human),Diseased,Enfermo,-3.1743640093624457,4.102891790423472
A1X283,Homo sapiens (Human),Diseased,Enfermo,1.8675838354171652,-1.7212494026930851
A2A2Y4,Homo sapiens (Human),Diseased,Enfermo,0.5848005453581961,0.4464961207368874
A2RU14,Homo sapiens (Human),Diseased,Enfermo,-11.660625326915287,3.5708738710949564
A2RUB6,Homo sapiens (Human),Diseased,Enfermo,2.934613766123456,-2.6379215456328224
A2RUC4,Homo sapiens (Human),Diseased,Enfermo,-1.063932446676692,-0.5799666642907667
A3KN83,Homo sapiens (Human),Diseased,Enfermo,0.24271022657088717,-1.5389112039927886
A4D1B5,Homo sapiens (Human),Diseased,Enfermo,-1.3655064945951636,0.9682802683575454
A4GXA9,Homo sapiens (Human),Diseased,Enfermo,-0.6583933230242313,-1.009624672629064
A5D8V7,Homo sapiens (Human),Diseased,Enfermo,2.052238778580231,-1.7980259193746493
A5PLL7,Homo sapiens (Human),Healthy,Sano,-2.4822719395546495,1.3605455218543203
A6BM72,Homo sapiens (Human),Healthy,Sano,-1.52761697770437,-2.6813947989862212
A6H8Y1,Homo sapiens (Human),Healthy,Sano,3.7492177382859255,-3.739516255774525
A6NCS4,Homo sapiens (Human),Diseased,Enfermo,2.110722937477446,0.2918716747171277
A6NER3,Homo sapiens (Human),Healthy,Sano,3.5255317458474598,-5.127655672686318
A6NFY7,Homo sapiens (Human),Healthy,Sano,9.086708481720864,3.6259323351491193
A6NGG8,Homo sapiens (Human),Diseased,Enfermo,3.3537136451299427,-1.60840043286219
A6NI61,Homo sapiens (Human),Diseased,Enfermo,-5.748712043188892,2.54939527770098
A6NKB5,Homo sapiens (Human),Diseased,Enfermo,-1.6549224323576843,-0.859250888311556
A6NNB3,Homo sapiens (Human),Healthy,Sano,-5.77596380362114,-0.6914919109534312
A6QL63,Homo sapiens (Human),Diseased,Enfermo,0.32275573539728075,1.0792846267963965
A7E2V4,Homo sapiens (Human),Diseased,Enfermo,0.4199514916844107,-1.4332536659760822
A7MCY6,Homo sapiens (Human),Diseased,Enfermo,1.8389339239064784,-1.720958118072325
A7MD48,Homo sapiens (Human),Diseased,Enfermo,5.329643471243849,-6.466485472666258
A8MQ03,Homo sapiens (Human),Diseased,Enfermo,-2.296109384816981,-2.3030828384271267
A8MW99,Homo sapiens (Human),Healthy,Sano,-0.7034782662390529,-0.002049691527030836
A9UHW6,Homo sapiens (Human),Diseased,Enfermo,1.3485764297954161,2.771524269336529
B1AK53,Homo sapiens (Human),Diseased,Enfermo,0.826687137737728,-1.5822708233706166
B1AL88,Homo sapiens (Human),Healthy,Sano,-1.002052241502452,-2.645282742870738
B2RUY7,Homo sapiens (Human),Healthy,Sano,-0.8689479332266974,-0.6627114014852167
B3KU38,Homo sapiens (Human),Healthy,Sano,3.048865960730144,-3.103928192880216
B6A8C7,Homo sapiens (Human),Healthy,Sano,-1.4316829039278312,1.8894767535483068
B7U540,Homo sapiens (Human),Diseased,Enfermo,-2.0528747840358124,0.25995059048158
C9JLW8,Homo sapiens (Human),Healthy,Sano,4.967809303404631,0.5322449916156148
C9JRZ8,Homo sapiens (Human),Healthy,Sano,0.87066187017214,2.623267939495672
D3W0D1,Homo sapiens (Human),Healthy,Sano,-5.198145099788894,-1.2481993832240434
E0CX11,Homo sapiens (Human),Healthy,Sano,-7.446972131201254,-3.5546278327478404
O00115,Homo sapiens (Human),Healthy,Sano,-1.8235401194509673,0.5126317187097378
O00116,Homo sapiens (Human),Healthy,Sano,-1.2212302173463006,-0.5157602002907737
O00159,Homo sapiens (Human),Diseased,Enfermo,0.7900950754693196,0.4542025530259183
O00161,Homo sapiens (Human),Healthy,Sano,5.184105436276518,1.4354696700698226
O00165,Homo sapiens (Human),Healthy,Sano,1.9704497203899827,-3.2081791848825323
O00168,Homo sapiens (Human),Diseased,Enfermo,-5.483876017840653,-4.175132586047504
O00214,Homo sapiens (Human),Healthy,Sano,-0.5107575337332163,1.905037657700485
O00237,Homo sapiens (Human),Healthy,Sano,0.09635892955784862,1.7482582711953039
O00254,Homo sapiens (Human),Diseased,Enfermo,-5.983460633452369,3.342699805992
O00268,Homo sapiens (Human),Diseased,Enfermo,-2.4719715932460486,-2.4410989690990847
O00291,Homo sapiens (Human),Healthy,Sano,3.2898006361635153,1.1908194286583187
O00300,Homo sapiens (Human),Diseased,Enfermo,-2.5047546886123695,-2.9422490887443233
O00322,Homo sapiens (Human),Diseased,Enfermo,-5.803630221873382,1.2520882894387737
O00329,Homo sapiens (Human),Diseased,Enfermo,-0.7146232890504483,0.09139387068088023
O00330,Homo sapiens (Human),Diseased,Enfermo,-0.953232154928931,-0.1762919870048893
O00337,Homo sapiens (Human),Diseased,Enfermo,-3.161667192237151,3.1057469112821323
O00400,Homo sapiens (Human),Diseased,Enfermo,-3.9849857334975405,2.228169284134225
O00409,Homo sapiens (Human),Healthy,Sano,2.5664959851916427,-1.395853693010493
O00422,Homo sapiens (Human),Healthy,Sano,2.8494362684079957,0.32058781090703053
O00444,Homo sapiens (Human),Diseased,Enfermo,0.6010138383248426,-0.9584780186079787
O00453,Homo sapiens (Human),Diseased,Enfermo,-0.7110434010878841,-1.7266022637948466
O00462,Homo sapiens (Human),Healthy,Sano,-0.5009827089836446,1.107294105739276
O00478,Homo sapiens (Human),Healthy,Sano,-0.7531645098850515,-0.047936574746112334
O00487,Homo sapiens (Human),Healthy,Sano,-1.799824943745889,0.1125165201945551
O00505,Homo sapiens (Human),Healthy,Sano,-0.6070161024089463,1.2241546518520587
O00506,Homo sapiens (Human),Healthy,Sano,2.1839044632949918,0.9944855101584518
O00507,Homo sapiens (Human),Diseased,Enfermo,1.8672313205081368,1.0406461338367823
O00560,Homo sapiens (Human),Healthy,Sano,-2.8329021361599915,-0.4636705088245668
O00591,Homo sapiens (Human),Healthy,Sano,-3.004404068047309,0.8193769464642344
O00622,Homo sapiens (Human),Healthy,Sano,0.7508719325491352,0.14637900833878062
O00624,Homo sapiens (Human),Diseased,Enfermo,-5.791183977608629,3.001551193419562
O00635,Homo sapiens (Human),Healthy,Sano,2.109886087654999,1.0037896528631745
O00712,Homo sapiens (Human),Diseased,Enfermo,2.6578219666679153,0.3081499163517717
O00746,Homo sapiens (Human),Diseased,Enfermo,2.162318352988969,2.2763067039784857
O00748,Homo sapiens (Human),Diseased,Enfermo,-3.0349126982946086,-0.528575397239992
O00762,Homo sapiens (Human),Healthy,Sano,-0.07060622627211956,1.2668627796379575
O14497,Homo sapiens (Human),Diseased,Enfermo,-1.2787909290425514,-5.770947940745994
O14503,Homo sapiens (Human),Diseased,Enfermo,2.8967819554229837,1.3345657417836603
O14508,Homo sapiens (Human),Healthy,Sano,0.6399906904103685,0.7199307379033056
O14519,Homo sapiens (Human),Diseased,Enfermo,-5.149928329361536,-5.65047875047468
O14524,Homo sapiens (Human),Diseased,Enfermo,-3.8148415885663094,0.49154795136043306
O14548,Homo sapiens (Human),Healthy,Sano,-1.6637019105935305,1.7411575863890687
O14561,Homo sapiens (Human),Healthy,Sano,-0.09608836721048593,3.3298134430216724
O14613,Homo sapiens (Human),Healthy,Sano,0.6752135637640392,0.27747075684867006
O14618,Homo sapiens (Human),Healthy,Sano,-0.28111903838317226,0.14006250866059516
O14628,Homo sapiens (Human),Healthy,Sano,0.9077364444866322,-1.2975748433147323
O14638,Homo sapiens (Human),Diseased,Enfermo,-1.0657919440805705,-0.8532566658971559
O14640,Homo sapiens (Human),Diseased,Enfermo,0.6627404693129305,-1.9358665102441843
O14654,Homo sapiens (Human),Diseased,Enfermo,0.21091622699107407,-3.3712679345601164
O14657,Homo sapiens (Human),Healthy,Sano,-2.261389377051368,1.4217637869032411
O14744,Homo sapiens (Human),Healthy,Sano,0.7004288832130825,1.3731094324108435
O14756,Homo sapiens (Human),Healthy,Sano,-2.041393008225792,1.9346953278178254
O14757,Homo sapiens (Human),Healthy,Sano,0.5623985594540668,0.3167388674263661
O14763,Homo sapiens (Human),Healthy,Sano,-0.33918923388629824,-2.2225120520888075
O14788,Homo sapiens (Human),Healthy,Sano,1.3345816887497748,1.6660822577063643
O14804,Homo sapiens (Human),Diseased,Enfermo,-5.9528947997636275,3.731629229054272
O14813,Homo sapiens (Human),Diseased,Enfermo,-2.399836049653698,-2.696126794680669
O14843,Homo sapiens (Human),Diseased,Enfermo,-5.919006533292776,0.5699448044825213
O14907,Homo sapiens (Human),Diseased,Enfermo,-1.0100174798370856,-1.6719883765137238
O14908,Homo sapiens (Human),Healthy,Sano,-2.554653505518193,-2.718026787395555
O14910,Homo sapiens (Human),Diseased,Enfermo,1.8632440916998514,1.0647173200168438
O14925,Homo sapiens (Human),Healthy,Sano,-4.631854450632459,-0.19358805168259616
O14926,Homo sapiens (Human),Healthy,Sano,-0.12041235181646219,-0.18182935886609353
O14933,Homo sapiens (Human),Healthy,Sano,0.3459557172989494,1.5190697940418156
O14939,Homo sapiens (Human),Diseased,Enfermo,-0.056212366583993305,0.49371341654847023
O14949,Homo sapiens (Human),Healthy,Sano,6.506448527186078,6.6304029468623655
O14958,Homo sapiens (Human),Healthy,Sano,2.2113760374529803,1.1872680272911404
O14960,Homo sapiens (Human),Healthy,Sano,-1.9738021489217452,0.40846490777003214
O14967,Homo sapiens (Human),Healthy,Sano,0.0694859104986777,-2.2452275594901727
O14975,Homo sapiens (Human),Diseased,Enfermo,-0.3616507897590149,2.1088814515853165
O14979,Homo sapiens (Human),Healthy,Sano,3.8633514263979674,0.5985999611693088
O14994,Homo sapiens (Human),Diseased,Enfermo,0.4621592333163858,-0.9666157039958108
O15067,Homo sapiens (Human),Healthy,Sano,0.39084018502974754,0.8633630267432953
O15078,Homo sapiens (Human),Diseased,Enfermo,4.351694615226889,-1.3076142699781659
O15111,Homo sapiens (Human),Diseased,Enfermo,-0.14936110225749388,0.44920068696086063
O15116,Homo sapiens (Human),Healthy,Sano,5.635947216636651,6.076187439731526
O15119,Homo sapiens (Human),Diseased,Enfermo,-0.47469884324244416,-0.6505077081160611
O15120,Homo sapiens (Human),Diseased,Enfermo,-1.7255711593714889,3.616509872383744
O15127,Homo sapiens (Human),Diseased,Enfermo,-3.673821330053949,1.0774364974119697
O15156,Homo sapiens (Human),Diseased,Enfermo,1.3461570473815356,-1.3789422135402427
O15162,Homo sapiens (Human),Healthy,Sano,-3.175574837508236,-1.8725350109620118
O15169,Homo sapiens (Human),Diseased,Enfermo,1.449937856491404,-2.605292830308363
